Time (microseconds),Controller.Vd_Ref,Controller.Vq_Ref,Controller.Id_Ref,Controller.Iq_Ref,Controller.Id,Controller.Iq
0.00,0,0,0,0,0,0
208125.00,0,0,0,0,0,0
416250.00,0,0,0,0,0,0
624375.00,0,0,0,0,0,0
832500.00,0,0,0,0,0,0
1040625.00,0,0,0,0,0,0
1248750.00,0,0,0,0,0,0
1456875.00,0,0,0,0,0,0
1665000.00,0,0,0,0,0,0
1873125.00,0,0,0,0,0,0
2081250.00,0,0,0,0,0,0
2289375.00,0,0,0,0,0,0
2497500.00,0,0,0,0,0,0
2705625.00,0,0,0,0,0,0
2913750.00,0,0,0,0,0,0
3121875.00,0,0,0,0,0,0
3330000.00,0,0,0,0,0,0
3538125.00,0,0,0,0,0,0
3746250.00,0,0,0,0,0,0
3954375.00,0,0,0,0,0,0
4162500.00,0,0,0,0,0,0
4370625.00,0,0,0,0,0,0
4578750.00,0,0,0,0,0,0
4786875.00,0,0,0,0,0,0
4995000.00,0,0,0,0,0,0
5203125.00,0,0,0,0,0,0
5411250.00,0,0,0,0,0,0
5619375.00,0,0,0,0,0,0
5827500.00,0,0,0,0,0,0
6035625.00,0,0,0,0,0,0
6243750.00,0,0,0,0,0,0
6451875.00,0,0,0,0,0,0
6660000.00,0,0,0,0,0,0
6868125.00,0,0,0,0,0,0
7076250.00,0,0,0,0,0,0
7284375.00,0,0,0,0,0,0
7492500.00,0,0,0,0,0,0
7700625.00,0,0,0,0,0,0
7908750.00,0,0,0,0,0,0
8116875.00,0,0,0,0,0,0
8325000.00,0,0,0,0,0,0
8533125.00,0,0,0,0,0,0
8741250.00,0,0,0,0,0,0
8949375.00,0,0,0,0,0,0
9157500.00,0,0,0,0,0,0
9365625.00,0,0,0,0,0,0
9573750.00,0,0,0,0,0,0
9781875.00,0,0,0,0,0,0
9990000.00,0,0,0,0,0,0
10198125.00,0,0,0,0,0,0
10406250.00,0,0,0,0,0,0
10614375.00,0,0,0,0,0,0
10822500.00,0,0,0,0,0,0
11030625.00,0,0,0,0,0,0
11238750.00,0,0,0,0,0,0
11446875.00,0,0,0,0,0,0
11655000.00,0,0,0,0,0,0
11863125.00,0,0,0,0,0,0
12071250.00,0,0,0,0,0,0
12279375.00,0,0,0,0,0,0
12487500.00,0,0,0,0,0,0
12695625.00,0,0,0,0,0,0
12903750.00,0,0,0,0,0,0
13111875.00,0,0,0,0,0,0
13320000.00,0,0,0,0,0,0
13528125.00,0,0,0,0,0,0
13736250.00,0,0,0,0,0,0
13944375.00,0,0,0,0,0,0
14152500.00,0,0,0,0,0,0
14360625.00,0,0,0,0,0,0
14568750.00,0,0,0,0,0,0
14776875.00,0,0,0,0,0,0
14985000.00,0,0,0,0,0,0
15193125.00,0,0,0,0,0,0
15401250.00,0,0,0,0,0,0
15609375.00,0,0,0,0,0,0
15817500.00,0,0,0,0,0,0
16025625.00,0,0,0,0,0,0
16233750.00,0,0,0,0,0,0
16441875.00,0,0,0,0,0,0
16650000.00,0,0,0,0,0,0
16858125.00,0,0,0,0,0,0
17066250.00,0,0,0,0,0,0
17274375.00,0,0,0,0,0,0
17482500.00,0,0,0,0,0,0
17690625.00,0,0,0,0,0,0
17898750.00,0,0,0,0,0,0
18106875.00,0,0,0,0,0,0
18315000.00,0,0,0,0,0,0
18523125.00,0,0,0,0,0,0
18731250.00,0,0,0,0,0,0
18939375.00,0,0,0,0,0,0
19147500.00,0,0,0,0,0,0
19355625.00,0,0,0,0,0,0
19563750.00,0,0,0,0,0,0
19771875.00,0,0,0,0,0,0
19980000.00,0,0,0,0,0,0
20188125.00,0,0,0,0,0,0
20396250.00,0,0,0,0,0,0
20604375.00,0,0,0,0,0,0
20812500.00,0,0,0,0,0,0
21020625.00,0,0,0,0,0,0
21228750.00,0,0,0,0,0,0
21436875.00,0,0,0,0,0,0
21645000.00,0,0,0,0,0,0
21853125.00,0,0,0,0,0,0
22061250.00,0,0,0,0,0,0
22269375.00,0,0,0,0,0,0
22477500.00,0,0,0,0,0,0
22685625.00,0,0,0,0,0,0
22893750.00,0,0,0,0,0,0
23101875.00,0,0,0,0,0,0
23310000.00,0,0,0,0,0,0
23518125.00,0,0,0,0,0,0
23726250.00,0,0,0,0,0,0
23934375.00,0,0,0,0,0,0
24142500.00,0,0,0,0,0,0
24350625.00,0,0,0,0,0,0
24558750.00,0,0,0,0,0,0
24766875.00,0,0,0,0,0,0
24975000.00,0,0,0,0,0,0
25183125.00,0,0,0,0,0,0
25391250.00,0,0,0,0,0,0
25599375.00,0,0,0,0,0,0
25807500.00,0,0,0,0,0,0
26015625.00,0,0,0,0,0,0
26223750.00,0,0,0,0,0,0
26431875.00,0,0,0,0,0,0
26640000.00,0,0,0,0,0,0
26848125.00,0,0,0,0,0,0
27056250.00,0,0,0,0,0,0
27264375.00,0,0,0,0,0,0
27472500.00,0,0,0,0,0,0
27680625.00,0,0,0,0,0,0
